,/records/record/#id,/records/record/abstract/style,/records/record/auth-address/style,/records/record/contributors/authors/author/style,/records/record/dates/year/style,/records/record/keywords/keyword/style,/records/record/periodical/full-title/style,/records/record/titles/title/style
233,234,"The remote Kimberley region in Western Australia presents a unique nature-based tourism destination. One of the world's last wildernesses, the Kimberley is one of the least-impacted marine environments in the world. Tourism in the region is growing rapidly, driven by stunning natural landscapes, unparalleled nature-based experiences and a vibrant indigenous culture. Despite this, there has been virtually no research into how stakeholders value the Kimberley and spatially explicit investigations are lacking. State marine protected area planning, currently in a formative stage in the region, requires such spatially explicit social data to complement existing biophysical information. This paper reports on findings from a Public Participation GIS survey with 206 stakeholders undertaken in 2015 as part of a broader research project into socio-cultural values and management preferences for the Kimberley coast. Stakeholders' spatially linked values were collected via an internet-based mapping survey for the purpose of supporting future planning and management in the region. Stakeholders mapped over 4,100 value locations, with values relating to scenery/aesthetics, recreational fishing, Aboriginal culture and nature-based tourism being most prominent. Analysis identified a clear spatial clustering of values across the region with a number of value 'hotspots' evident. Tourism planners and managers can analyse these hotspots to identify areas of potential congruence and conflict, thus assisting in retaining the qualities of the region that support ongoing tourism. By generating spatially explicit information on stakeholder values and areas of importance, this research makes an important contribution to tourism planning and management in the Kimberley. © 2016 WIT Press, www.witpress.com.","Murdoch University, Australia
 University of Queensland, Australia","Strickland-Munro, J.",2016,,International Journal of Sustainable Development and Planning,"Valuing the wild, remote and beautiful: Using public participation gis to inform tourism planning in the Kimberley, Western Australia"
176,177,"Ecosystem services may be underestimated, and consequently threatened, when land-use planning and management decisions are based on inadequate information. Unfortunately, most of the studies aimed to evaluate and map cultural ecosystem services (CES) are not used for actual decision support therefore there is a gap in the literature about its use in practice. This study aimed to reduce this gap by: (i) mapping CES perceived by city park users through participatory mapping (PPGIS); (ii) mapping CES arising from park management (management perception); (iii) comparing citizens and park management perception to identify matches or mismatches; and (iv) discussing the utility of the data acquired and the methodology proposed to inform urban planning. The methodology presented in this study resulted in data directly informative for urban planning. It provided spatially explicit data about perceived cultural services of the park as well as information about the matching or mismatching patterns about cultural services provision comparing the users' view with the management dimension. This research demonstrated a way to use the potential of ES mapping to inform urban planning and explored the local management demand for CES mapping, showing this to be a valuable tool for effective integration into actual decision making. © 2017 by the authors.","Department of Earth and Environmental Sciences, University of Milano-Bicocca, piazza della Scienza 1, Milano, 20126, Italy
 School of Architecture, Planning and Environmental Policy, University College Dublin, Dublin 4, Ireland
 School of Natural Sciences, Trinity College, Dublin 8, Ireland","Canedoli, C.",2017,,Sustainability (Switzerland),public participatory mapping of cultural ecosystem services: Citizen perception and park management in the Parco Nord of Milan (Italy)
13,14,"A PPGIS (Public Participatory Geographical Information System) has recently been developed in combination with PRA (Participatory Rural Appraisal) and GIS (Geographical Information Systems) methodologies to utilise GIS in the context of the needs of communities that are involved with, and affected by development programmes. The impact of arsenic poisoning in Bangladesh is 'tragic and painful' on patients' health and their social life what was described as the 'worse mass poisoning in human history' in a WHO report. Deep tubewell is said to be a source of arsenic-free safe drinking water and people are mainly interested in deep tubewell water rather than rainwater harvesting, dug-wells, and pond-sand-filters (PSF) approved by the BAMWSP (Bangladesh Arsenic Mitigation Water Supply Project). This paper mainly explores the application and suitability of GIS with local community participation in deep tubewell planning for arsenic mitigation. The relevant data for this study were collected from the field survey. The PRA methods were used to obtain social and resource information; while a GIS was used to organise, analyse, and display the information. Participants from three different focus-groups were asked to determine their 'own priorities' for spatial planning of deep tubewell for arsenic-free water. The study results valuable community perspectives on deep tubewell planning and reveals the suitability of PPGIS in spatial planning for arsenic mitigation with local community mapping overlay. The process of dialogue and preparation of mental mapping within each focus-group participants lead to enhance information about community needs of deep tubewell in the study area. © 2005 Elsevier Ireland Ltd. All rights reserved.","Jahangirnagar University, Department of Geography and Environment, Savar, Dhaka 1342, Bangladesh","Hassan, M. M.",2005,,Health Policy,Arsenic poisoning in Bangladesh: Spatial mitigation planning with GIS and public participation
68,69,"Background: Evaluating fuel treatment effectiveness is challenging when managing a landscape for diverse ecological, social, and economic values. We used a Participatory Geographic Information System (PGIS) to understand Confederated Colville Tribal (CCT) member views regarding the location and effectiveness of fuel treatments within their ancestral territory within the Colville National Forest (CNF) boundary. The 2015 North Star Fire burned 88 221 ha (218 000 acres) of the CCT ancestral territory. Results: We sampled thirty plot pairs that were treated or untreated prior to being burned by the North Star Fire and again one growing season post fire. Species diversity was significantly increased by wildfire in both treated and untreated plots. Species richness was significantly increased in the plots that were treated, and there was no significant change in species richness from wildfire within the untreated plots. The percent canopy cover of two of the six culturally important plants (Fragaria spp. L. and Arnica cordifolia Hook.) significantly increased one growing season post wildfire within treated plots and one (Arctostaphylos uva-ursi [L.] Spreng.) significantly decreased in the treated plots post wildfire. These post-fire monitoring results were consistent with CCT member management recommendations and desired outcomes of understory thinning, prescribed fire, and natural ignition found using PGIS. Conclusions: Together, the results suggest that prior thinning and prescribed burning can foster vegetation response to subsequent wildfires, including culturally important plants. Further, integrating Traditional Knowledge (TK) into fuels treatments can improve ongoing adaptive management of national forests that include tribal ancestral lands. © 2019, The Author(s).","USDA Forest Service, Colville National Forest, 765 S. Main Street, Colville, WA 99114, United States
 Department of Forest, Rangeland, and Fire Sciences, University of Idaho, 975 Perimeter Drive MS 1133, Moscow, ID 83844, United States
 University of Arizona, School of Geography and Development, 1064 E. Lowell Street, Tucson, AZ 85721, United States","Wynecoop, M. D.",2019,,Fire Ecology,Getting back to fire suméŝ: exploring a multi-disciplinary approach to incorporating traditional knowledge into fuels treatments
135,136,"Marine spatial planning (MSP) is a strategic way of improving decision-making and delivering an ecosystem approach to managing human activities in the marine environment. Notwithstanding the central role of human agency in these approaches, it is recognised that many times marine management has not been effective in part due to a failure to use all available sources of information and knowledge, particularly the local knowledge of the resources' users. The transboundary Grenadine Islands, which rely heavily on the marine environment for livelihoods, provide an example of a complex system where there is a high diversity of uses and all available information is needed for effective management. We illustrate how a participatory GIS approach can be applied as a sound basis for practically incorporating an ecosystem approach within marine spatial planning initiatives. Key benefits include effective data management, increased spatial understanding and the definition of critical areas across the Grenada Bank. We found the application of a PGIS approach to support spatially-based ecosystem-level analyses of the Grenada Bank to be conducted and presented in ways that could be expected to increase stakeholder understanding of information generated thus supporting marine governance.","University of the West Indies, Jamaica",,2014,Transboundary grenadine islands,Electronic Journal of Information Systems in Developing Countries,A participatory GIS for marine spatial planning in the Grenadine Islands
165,166,"This paper analyses public use in the Ebro Delta Natural Park using PPGIS (public participation geographic information system) methodology. An online survey was designed using Google Maps API, HTML, and JAVASCRIPT. Respondents were asked to place and rate thirteen items on an interactive map to characterize and georeference public use with regard to accessibility, facilities and services, signposting, safety and security, and leisure activities. In total we collected 209 valid surveys and mapped 2617 georeferenced opinions. Facilities and services were rated highly by users (72.46% were “very satisfied”). These were followed by accessibility (61%, “very satisfied”) and signposting (60.2%, “satisfied” or “quite satisfied”). Safety and security items were hardly rated perhaps because users do not feel insecure in the area. Respondents’ mapping of opinions and experiences, which are heterogeneous and were well rated, enabled us to visualize areas that might be understood as social hotspots. Our results show that PPGIS is an effective procedure for measuring public use in protected areas and may be a valuable tool for park managers and planners. © 2019 by the authors.","Department of Geography, Universitat Rovira i Virgili, Vila-Seca, 43480, Spain",,2019,Public use,Isprs International Journal of Geo-Information,"PPGIS and public use in protected areas:Acase study in the Ebro Delta Natural Park, Spain"
177,178,"Economic and biophysical assessments are being used to portray the value of ecosystem services (ES) to decision makers. However, stakeholder uses of ES are rarely considered, nor are intangible cultural values. Public participatory GIS methods enabled for 16 cultural and provisioning ES indicators to be effectively mapped across seven stakeholder groups in an area lacking data. During interviews, polygons representing ES use were drawn by participants and then subsequently analyzed to produce areas of overlapping use, generating ES hotspots for each group, for cultural and provisioning ES, and for all groups combined. In many cases, cultural ES were deemed to be more important to stakeholders than provisioning ES. We demonstrate an effective non-economic tool used to visualize ES use across eight differing stakeholder groups on a regional scale, which were straightforward to disseminate during a decision-making process for a large hydroelectric dam. © 2014 Elsevier B.V.","Royal Roads University, 2005 Sooke Road, Victoria, BC V9B 5Y2, Canada
 Wildsight Golden, Box 663, Golden, BC V0A 1H0, Canada
 The University of Western Ontario, Department of Biology, London, ON N6A 5B7, Canada",,2015,Stakeholders,Ecosystem Services,Quantifying and mapping ecosystem service use across stakeholder groups: Implications for conservation with priorities for cultural values
76,77,"The terms NIMBY (Not-In-My-Back-Yard) and YIMBY (Yes-In-My-Back-Yard) describe negative and positive attitudes toward proposed development projects respectively. These attitudes are posited to be influenced by geographic (spatial) discounting wherein the distance from domicile may contribute to local opposition or support. In contrast to specific development projects, the potential influence of NIMBY/YIMBY in a general land use planning process has not been systematically evaluated. In this study, we analyzed empirical data from a public participation GIS (PPGIS) process implemented for a general plan revision to examine the evidence for geographic discounting for a range of land uses using mapped preferences by community residents. Using distance analysis, we found significant evidence for geographic discounting by land use type with variable discount rates influenced by location of residence and the spatial configuration of land use in the planning area represented by zoning. The findings were consistent with NIMBY/YIMBY expectations with the exception of residential development where the results were more ambiguous. Residents want future land uses with amenities (open space, recreation, and trails) closer to domicile and more intensive, developed land uses (commercial, tourism, events, parking) further away. The findings have potentially broad implications because general/comprehensive planning—a requirement of most local governments in the U.S.—is operationalized through land use zones that appear subject to spatial discounting and the manifestation of potential NIMBY/YIMBY effects in the planning process. Future research should examine other planning contexts such as large urban areas with a greater diversity of land uses. © 2018 Elsevier Ltd","Natural Resources Management & Environmental Sciences, California Polytechnic State University, San Luis Obispo, CA 93407, United States
 University of Queensland, Brisbane, Australia
 Department of Mathematics, California Polytechnic State University, San Luis Obispo, CA 93407, United States","Brown, G.",2018,,Applied Geography,Identifying potential NIMBY and YIMBY effects in general land use planning and zoning
242,243,"Web 2.0 technologies including Public Participation Geographic Information Systems (PPGIS) and Volunteered Geographic Information (VGI) provide methods for engaging multiple publics in public lands management. We examined the effects of sampling in a PPGIS/VGI application for national forest planning in the US. A random sample (RS) of households and a volunteer public (VP) were invited to participate in an internet-based PPGIS to identify national forest values and use preferences. Spatial and non-spatial group responses were analysed. The VP group expressed stronger utilitarian values and consumptive use preferences while the RS group preferred forest amenities. These results would lead to different planning decisions. PPGIS/VGI methods should include scientific sampling to ground-truth voluntary participation. © 2014 Copyright Taylor and Francis Group, LLC.","Department of Environmental Planning, University of Queensland, Brisbane, QLD, 4072, Australia
 Cooperative Extension, Ecosystem Sciences Division, Department of Environmental Sciences, University of California Berkeley, Berkeley, CA, 94720-3114, United States
 USDA Forest Service, Pacific Southwest Region, 1323 Club Drive, Vallejo, CA, 94592, United States","Brown, G.",2014,,Journal of Environmental Planning and Management,Which 'public'? Sampling effects in public participation GIS (PPGIS) and volunteered geographic information (VGI) systems for public lands management
5,6,"Agricultural intensification has been the key in addressing the growing demand for food production both for home consumption and supplying the market. The market demand on agricultural production has therefore triggered change in land use. For farmers, it makes a lot of economic sense to venture on high value agricultural products where land and labor capital is limited This study provided a temporal analysis that would describe the land use changes in Barangay Songco, Lantapan, Bukidnon, with emphasis on the driving forces and how they influence the farming decision of farmers. Participatory mapping and focused group discussion were conducted with selected farmer-residents, and a satellite image to generate the historical land use map of barangay Songco. Maps were digitized and land areas were computed using the ArcGis9 field calculator to derive the estimated area occupied by a certain land use. Land use change in Songco is influenced by a high demand of agricultural products. Furthermore, inappropriate farming systems such as up and down planting that vegetable growers practice has caused severe soil erosion, leading to the decline on crop yield due to the removal of soil nutrients. Moreover, the off-site effect of soil erosion are siltation and sedimentation which carry traces of pesticides and chemical contaminants into water bodies which are likely to degrade water quality and may create health problems for farm families and those living downstream (Coxhead et. al. 2005).",,"Pailagao, C. T.",2010,,Journal of Environmental Science and Management,"Drivers of Land Use Change in Lantapan, Bukidnon, Philippines"
29,30,"Marine coastal environments are often socially complex public areas that need equitable spatial planning approaches. Understanding the extent of extractive and non-extractive uses and the social dynamics that may be driving patterns of use is essential if the spatial plan is to support the social resilience of a marine area. In this study, a combination of fuzzy-set multi-criteria GIS modelling and negative tie social network analysis were used to explore social uses and conflicts based on sketch-mapping interviews with five key stakeholder groups (ecotourism, Aboriginal Traditional Owners, commercial and recreational fishing, and water sports) within a Marine Protected Area (MPA). Most of the areas within the MPA were regularly used by the stakeholders, with non-extractive and extractive stakeholders occupying similar spatial extents, with each stakeholder group having a different pattern of use. However, stakeholder groups had different levels of perceived priority to access these areas and support of the current spatial management plan, especially within the ecotourism and Aboriginal Traditional Owner groups. The investigation of social conflicts in shaping patterns of use revealed that most stakeholder conflicts do not necessarily occur in areas of overlaps, but generally in areas of high biodiversity and easy access through marine infrastructure. Ecotourism groups had the most perceived conflicts over marine space, which shaped their use towards certain no-take zones that protected high biodiversity and would also provide protection from other conflicting stakeholder uses (e.g., boating, fishing). Overall, the method outlined in this paper presents a way for marine spatial management to consider not only the extent and diversity of social uses in a marine environment but also the spatial-social dynamics that may determine the success of the spatial plan in supporting long-term social resilience. © 2019 Elsevier Ltd","Fenner School of Environment and Society, The Australian National University, Canberra, ACT 2601, Australia
 Fisheries Research, New South Wales Department of Primary Industries, Nelson Bay, NSW 2315, Australia","Noble, M. M.",2019,,Journal of Environmental Management,"Understanding the spatial diversity of social uses, dynamics, and conflicts in marine spatial planning"
15,16,"Satellite mapping contributes significantly to ecological studies of landscape composition and structure but needs to better engage local populations in more culturally sensitive assessments of diversity patterns. This study examines how participatory mapping can contribute to land-cover analyses derived from satellite data of landscapes in the Manaslu Conservation Area (MCA), Nepal. Landscapes were mapped by local residents, first on paper and again on a geo-registered Landsat Thematic Mapper (TM) scene, for April 7, 2010. Local landscape knowledge from men and women was transferred from participatory maps to the classified satellite image to create an integrated landscape map for the MCA. Participatory maps added the significance of ""place"" to the evaluation of landscape diversity (n = 276 named places for women and 315 for men). The classification of the TM image resulted in seven land cover types with only 10% of the land classified as forests, which are highly fragmented. The final map combined local landscape knowledge (n = 43 places mapped on the TM image and n = 21 from the transect walks) with the empirical classification of land cover types, increasing the spatial understanding of MCA as a ""place"" of material use and cultural meaning. This integrative map, as process and outcome, promoted collaborative learning about local places and local peoples' perspectives on their landscape, which can contribute to more adaptive landscape planning and conservation of forest and livelihood resources. © 2016 Society of Ethnobiology.","Department of Biology, Miami University, Oxford, OH 45056, United States
 Department of Geography, Miami University, United States","Shrestha, S.",2016,,Journal of Ethnobiology,"Landscape Mapping: Gaining ""sense of Place"" for Conservation in the Manaslu Conservation Area, Nepal"
9,10,"Geo-questionnaire involves an integration of sketchable maps with questions, aimed at eliciting public preferences and attitudes about land allocation and services. Respondents can link their answers with corresponding locations on a map by marking points or sketching polygon features. Geo-questionnaires have been used to learn about perceptions and preferences of city residents for specific types of land use, place-based services, and development projects. This article reports on results of an empirical study, in which an online geo-questionnaire was designed and implemented to elicit preferences of residents in guiding an urban development plan. Preferences collected in the form of polygon sketches were processed using GIS operations and mapped for visual interpretation. The article focuses on aggregation and analysis of respondent preferences including the analysis of positional and attribute uncertainty. Results of the study show that geo-questionnaire is a scalable method for eliciting public preferences with a potential for meaningfully informing land use planning.",,"Jankowski, P.",2016,,Transactions in Gis,Geo-questionnaire: A Method and Tool for Public Preference Elicitation in Land Use Planning
18,19,"Background: Half of the population of Africa will soon live in towns and cities where it can be protected from malaria by controlling aquatic stages of mosquitoes. Rigorous but affordable and scaleable methods for mapping and managing mosquito habitats are required to enable effective larval control in urban Africa. Methods: A simple community-based mapping procedure that requires no electronic devices in the field was developed to facilitate routine larval surveillance in Dar es Salaam, Tanzania. The mapping procedure included (1) community-based development of sketch maps and (2) verification of sketch maps through technical teams using laminated aerial photographs in the field which were later digitized and analysed using Geographical Information Systems (GIS). Results: Three urban wards of Dar es Salaam were comprehensively mapped, covering an area of 16.8 km2. Over thirty percent of this area were not included in preliminary community-based sketch mapping, mostly because they were areas that do not appear on local government residential lists. The use of aerial photographs and basic GIS allowed rapid identification and inclusion of these key areas, as well as more equal distribution of the workload of malaria control field staff. Conclusion: The procedure developed enables complete coverage of targeted areas with larval control through comprehensive spatial coverage with community-derived sketch maps. The procedure is practical, affordable, and requires minimal technical skills. This approach can be readily integrated into malaria vector control programmes, scaled up to towns and cities all over Tanzania and adapted to urban settings elsewhere in Africa. © 2007 Dongus et al; licensee BioMed Central Ltd.","Department of Public Health and Epidemiology, Swiss Tropical Institute, Basel, Switzerland
 Department of Physical Geography, University of Freiburg, Freiburg, Germany
 Ifakara Health Research and Development Centre, Coordination Office, Dar es Salaam, Tanzania
 City Medical Office of Health, Dar es Salaam City Council, Dar es Salaam, Tanzania
 Ministry of Agriculture and Food Security, Dar es Salaam, Tanzania
 Institute of Ecosystems Science, School of Biological and Biomedical Sciences, Durham University, Durham, United Kingdom
 Department of Population and International Health, Harvard School of Public Health, Boston, MA, United States","Killeen, G. F.",2007,,International Journal of Health Geographics,"Participatory mapping of target areas to enable operational larval source management to suppress malaria vector mosquitoes in Dar es Salaam, Tanzania"
32,33,"Participatory mapping of local land use as the basis for planning and decision-making has become widespread around the globe. However, still relatively little is known about the conceptual underpinnings of geographic information produced through participatory mapping in given cultural and linguistic settings. In this paper, we therefore address the seemingly simple question of what is (not) represented on maps through an exploratory case study comparing land use categories participants represented on sketch maps with categories elicited through more language-focused ethnographic fieldwork. To explore landscape categorization, we conducted sketch mapping with 29 participants and in-depth ethnographic fieldwork with 19 participants from the Takana indigenous people in the Bolivian Amazon. Sketch mapping resulted in 74 different feature types, while we elicited 156 landscape categories used in language, of which only 23 overlapped with feature types from the sketch mapping. Vegetation categories were highly diversified in language but seldom represented on maps, while more obviously anthropogenic features were represented on sketch maps. Furthermore, participants seldom drew culturally important landscape categories such as fallow plots or important plant harvesting sites on maps, with important potential consequences for natural resource management. © 2017 by the authors.","Geography Department, University of Zurich, Winterthurerstr. 190, Zurich, CH-8057, Switzerland
 University Research Priority Programme Language and Space, University of Zurich, Freiestrasse 16, Zurich, CH-8032, Switzerland
 Institute of Geography, School of Geosciences, University of Edinburgh, United Kingdom",,2017,Sketch maps,Land,What's (not) on the map: Landscape features from participatory sketch mapping differ from local categories used in language
2,3,"It is recognized that participatory mapping techniques in the context of indigenous societies are fraught with dilemmas around the uneven distribution of power, differing understandings of boundaries drawn across the landscape, and incommensurable epistemologies of the human relationship with the environment. At the same time policy makers and practitioners recognize the value of local knowledge in planning and management practices, including for the planning and management of conservation areas. Mindful of this dilemma geographers and researchers in allied fields such as applied anthropology have tested participatory and inclusive mapping techniques across a variety of cultural contexts over the last several decades. This article evaluates the outcomes of a participatory conservation zoning exercise undertaken in a mineral extraction zone-the Cordillera Huayhuash-in the Andes of Central Peru and contributes a case study to this body of work. The principal method used was the construction of a manual 'GIS' upon which local communities could draw their zoning vision as an overlay on transparent acetate. The evaluation of the work focuses on the governance outcomes from the process rather than the map products that were drawn. The findings confirm that such processes are rife with the dilemmas identified in prior research, yet the zoning project also helped 'bridge' the great divide between the state and civil society by building trust through dialog. The findings also indicate that the chosen approach can be used as a ground truthing tool to identify accuracy and completeness problems in the cadastral database maintained by the government of Peru. © 2014 Elsevier Ltd.","UCSC Environmental Studies, 1156 High Street, Santa Cruz, CA 95064, United States",,2014,Private conservation,Applied Geography,"Bridging the great divide: State, civil society, and 'participatory' conservation mapping in a resource extraction zone"
114,115,"Tourism is a significant driver of social and ecological change in developing countries, particularly in small-island states, which are susceptible to tourism impacts due to their particular social and environmental characteristics. In this article we present a participatory mapping approach to obtaining spatially explicit local perceptions of future environmental and social change resulting from tourism development, as well as addressing the different community conflicts that may arise through the introduction of tourism in the future in a Solomon Islands community. The results show that spatial conflicts within a community over territory and associated resources are likely to occur when designing natural resource management and tourism development plans. This knowledge can help us increase the future sustainability of tourism in nascent small-islands destinations, particularly in vulnerable regions such as Roviana, which have experienced very little tourism development and will likely experience more in the near future. © 2015 Taylor & Francis Group, LLC.","Department of Anthropology and Department of Ichthyology and Fisheries Science (DIFS), Rhodes University, Grahamstown, South Africa
 College of Marine and Environmental Sciences, James Cook University, Townsville, Australia
 Department of Geography, University of California, Santa Barbara, CA, United States",,2015,Tourism,Society and Natural Resources,Planning for the future: Mapping anticipated environmental and social impacts in a nascent tourism destination
131,132,"Urban commons are under pressure. City development has led to the encroachment and ecological degradation of urban open space. Although there is growing insight that urban ecosystems need to be protected, there is hardly any attention for the consequences (of both pressures and protection efforts) for vulnerable human population groups. We aim to understand how urban development affects the well-being of the urban poor, through shifts in ecosystem services (ES) and people’s responses to these shifts. We performed household interviews and group mapping sessions in seven urban lake communities in Bangalore, India. Changes at Bangalore’s lakes can be summarized by three trends: privatization followed by conversion, pollution followed by degradation, and restoration followed by gentrification. Over time, this resulted in a shift in the types of ES supplied and demanded, the nature of use, and de facto governance: from provisioning, communal and public; to cultural, individual, and private. Lake dwellers responded by finding (other) sources of income, accepting lower quality or less accessible ES, and/or completely stopping the use of certain ES. The consequences of ecosystem change for people’s well-being differ depending on a household’s ability to adapt and on individual circumstances, land tenure and financial capital in particular. To guarantee a future for Bangalore’s lakes, restoration seems the only viable option. Although beautiful lake parks may be a solution for the well-off and not-too-poor, leaving the very poor without options to adapt to the new circumstances puts them at risk of becoming even more marginalized. We show that ecosystem degradation and restoration alike can impact the well-being of the urban poor. People’s experiences allowed us to couple ecosystem change to well-being through ES and adaptation strategies. Hence, we revealed multiple cause-effect relations. Understanding these relations contributes to sustainable urban development for people from all layers of society. © 2017 by the author(s).","Environmental Geography Group, Department of Earth Sciences, Vrije Universiteit Amsterdam, Netherlands
 School of Development, Azim Premji University, India
 Karuna Trust, India","Derkzen, M. L.",2017,,Ecology and Society,Shifts in ecosystem services in deprived urban areas: Understanding people’s responses and consequences for well-being
78,79,"In order to identify sustainable management solutions for small-scale farmer agroecosystems, a better understanding of these dynamic forest–farmland systems, existing farming and forestry strategies, and farmer perspectives is important. We examined the relationship between agricultural land use patterns and farmers’ practices and identified existing and potential characteristics of healthy agroecosystems at local scale in the context of village communities in Zanzibar, Tanzania. With in-depth household survey and participatory mapping, five distinct cropping patterns were identified and their relation to land cover elucidated. Consequences of the diverse local farming strategies to field level cultivation patterns are dynamic. However, long-term adaptation of the local farmers to prevailing edaphic site conditions and resource-poor circumstances create fragmented but fairly stable land use patterns at landscape level. By integrating local expert knowledge and realities with scientific knowledge, we identified sustainable agroecosystem characteristics and farming practices, which are knowledge-intensive, alternative and adaptable to local conditions. Some of these practices are already a part of the local farming strategies and some require training and higher level support to reach healthier agroecosystem and better food security. They also offer potential opportunities for forest conservation since their tree-based nature provide forest products to the communities. © , Copyright © Taylor & Francis Group, LLC.","Geography Division, Department of Geography and Geology, University of Turku, Turku, Finland
 Department of Forestry and Non-Renewable Natural Resources, Ministry of Agriculture and Natural Resources, Zanzibar, Tanzania",,2014,Zanzibar,Agroecology and Sustainable Food Systems,"Linking Farmers’ Knowledge, Farming Strategies, and Consequent Cultivation Patterns into the Identification of Healthy Agroecosystem Characteristics at Local Scales"
133,134,"Successfully addressing neglected tropical diseases requires nuanced understandings of pathogenic landscapes that incorporate situated, contexualized community knowledge. In the case of Buruli ulcer (BU), the role of social science is vital to investigate complex human-environment interactions and navigate different ways of knowing. We analyze a set of qualitative data from our interdisciplinary project on BU in Ghana, drawing from participatory mapping, focus group discussions, semi-structured interviews, and open-ended survey questions to explore how people in endemic and non-endemic areas see themselves embedded in changing environmental and social landscapes. We pay particular attention to landscape disturbance through logging and small-scale alluvial gold mining. The results from our participatory research underscore the holistic nature of BU emergence in landscapes, encapsulated in partial and incomplete local descriptions, the relevance of collective learning to distill complexity, and the potential of rich qualitative data to inform quantitative landscape-disease models. © 2015 Elsevier Ltd.","Department of Geography, Pennsylvania State University, University Park, PA 16802, United States
 Earth and Environmental Systems Institute, Pennsylvania State University, University Park, PA 16802, United States
 Institute for Resources, Environment, and Sustainability (IRES), University of British Columbia, Vancouver, BC V6T 1Z4, Canada
 Department of Geography, Rutgers University, Piscataway, NJ 08854-8045, United States
 Department of Human Ecology, Rutgers University, New Brunswick, NJ 08901-8520, United States
 Center for Science and the Schools, Pennsylvania State University, University Park, PA 16802, United States
 School of Earth and Environment, University of Western Australia, M004, Crawley, WA 6009, Australia","Tschakert, P.",2016,,Social Science and Medicine,Situated knowledge of pathogenic landscapes in Ghana: Understanding the emergence of Buruli ulcer through qualitative analysis
21,22,"Children today are spending more sedentary time indoors than time playing and being active outdoors. The daily journey to and from school represents a valuable opportunity for children to be physically active through active school travel. The majority of research on children's active school travel omits children from the research process even though children interpret their environments in fundamentally different ways than adults. Our research uses innovative participatory mapping and qualitative GIS methods to examine how children's perceptions of their environments influence their school journey experiences. Through our thematic analysis of 25 map-based focus groups, we identified three main themes characterizing barriers and enablers to active school travel: safety-related, material, and affective features. By positioning children as experts of their environments in our participatory methodology, our findings provide an important counterpoint to the adultist privilege characterizing the majority of research on children's active school travel. Environmental features that mattered for children's school journeys took on multiple meanings in their eyes, demonstrating that children's perspectives must be engaged to inform interventions to promote active school travel. We thus argue that identifying barriers and enablers to active school travel for children requires engaging children's views. © 2018 The Authors. The Canadian Geographer / Le Géographe canadien Published by Wiley Periodicals Inc. on behalf of Canadian Association of Geographers / l'Association canadienne des géographes.","Human Environments Analysis Laboratory, Department of Geography, University of Western Ontario, Canada
 Human Environments Analysis Laboratory, Department of Geography, School of Health Studies, Department of Paediatrics, Department of Epidemiology & Biostatistics, University of Western Ontario, Canada",,2019,qualitative GIS,Canadian Geographer,Children's perspectives on neighbourhood barriers and enablers to active school travel: A participatory mapping study
121,122,"Transforming conservation science and practice calls for rallying people's interest in biodiversity while evaluating the response of biodiversity to anthropogenic transformations. Anthropogenic landscapes are critical as they encompass most of the available spaces for living species and shape evolutionary forces for wildlife in the Anthropocene. We propose a methodology to assess wildlife distribution and habitat suitability in such landscapes based-on local knowledge. With increasing human population and habitat degradation, human-baboon conflicts are exacerbating throughout the Western Cape, South Africa. During participatory mapping workshops, we collected baboon sightings and indices of landscape use by participants to control observer bias to model baboon occurrence using presence-only models (with MaxEnt). We considered different biases associated with citizen data in the modelling process and conducted field validations. Sightings redundancy allows identifying core and extended baboons distribution ranges. We found that the distances to protected areas and wildlife corridors were the main determinants of baboon occurrence while land-cover had little influence. This later result underlies baboons behavioural flexibility in coping with land-use change. Overall, our results are consistent with studies using GPS collars in similar environments. Beyond generating meaningful information to understand wildlife distribution in anthropogenic landscape with a low-cost, fast and non-invasive approach, our methodology allowed local stakeholders to share insights about human-baboon coexistence. Well-designed participatory and collaborative methodologies are critical in conservation programmes, we discuss the role of developing such participatory mapping and modelling approaches to not only produce relevant information when resources are limited but also to unravel local solutions for conservation. © 2020 Elsevier Ltd","Sustainability Research Unit, Nelson Mandela University (NMU), George Campus, Madiba, drive, George, 6531, South Africa
 CNRS UMR 5558, LBBE, Université Lyon 1, Villeurbanne, 69622 Cedex, France
 REHABS, CNRS-Université Lyon 1-NMU, International Research Laboratory, George Campus, Madiba, drive, George, 6531, South Africa","Pédarros, É",2020,,Biological Conservation,Rallying citizen knowledge to assess wildlife occurrence and habitat suitability in anthropogenic landscapes
